City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
1,Tebingtinggi,ID,87.85,overcast clouds,3.3285,99.1625,Hotel Malibou tebing tinggi
3,Carupano,VE,75.6,clear sky,10.6678,-63.2585,Hotel La dorada
7,Kahului,US,78.82,scattered clouds,20.8947,-156.47,Maui Seaside Hotel
8,Avarua,CK,80.65,light rain,-21.2078,-159.775,Paradise Inn
12,Jinchang,CN,76.15,clear sky,38.4953,102.1739,Mingshihui Jinchang International Hotel
19,Kapaa,US,80.58,scattered clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
32,Butaritari,KI,82.08,overcast clouds,3.0707,172.7902,Isles Sunset Lodge
36,Kendari,ID,86.05,broken clouds,-3.945,122.4989,Hotel Wixel
39,Dong Hoi,VN,85.41,overcast clouds,17.4833,106.6,Nam Long Hotel
40,Omboue,GA,77.49,broken clouds,-1.5746,9.2618,Hotel Olako
42,Adrar,MR,80.6,overcast clouds,20.5022,-10.0711,
46,Bengkulu,ID,86.07,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
49,Saint-Philippe,RE,80.15,scattered clouds,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
50,Nerang,AU,77.38,clear sky,-27.9833,153.3333,RACV Royal Pines Resort Gold Coast
51,Dingle,PH,88.18,overcast clouds,10.9995,122.6711,SEGAYA PROPERTY
52,Rikitea,PF,77.86,light rain,-23.1203,-134.9692,Pension Maro'i
54,Jalu,LY,85.41,clear sky,29.0331,21.5482,صاحبة الفخامة
55,Kavieng,PG,80.42,moderate rain,-2.5744,150.7967,Nusa Island Retreat
57,Emba,KZ,88.16,few clouds,48.8264,58.1442,
66,Jamestown,US,76.59,scattered clouds,42.097,-79.2353,Hampton Inn & Suites Jamestown
70,Kalmunai,LK,89.35,overcast clouds,7.4167,81.8167,VS Villa
72,Mount Isa,AU,82.17,clear sky,-20.7333,139.5,ibis Styles Mt Isa Verona
79,Carnarvon,AU,80.67,overcast clouds,-24.8667,113.6333,Hospitality Carnarvon
83,Alofi,NU,75.09,overcast clouds,-19.0595,-169.9187,Taloa Heights
89,Atuona,PF,79.52,scattered clouds,-9.8,-139.0333,Villa Enata
91,Quatre Cocos,MU,79.09,clear sky,-20.2078,57.7625,Emeraude Beach Attitude Hotel
92,Makakilo City,US,78.57,clear sky,21.3469,-158.0858,Marriott's Ko Olina Beach Club
95,Potiskum,NG,82.76,broken clouds,11.7091,11.0694,Tamir Hotel Ltd
96,Port Keats,AU,89.38,few clouds,-14.25,129.55,TDC Village (Hundred Man Camp)
97,Padang,ID,86.83,overcast clouds,-0.9492,100.3543,Mercure Padang
98,Sinnamary,GF,77.61,overcast clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
101,Contramaestre,CU,76.98,scattered clouds,20.2978,-76.2414,Hotel Caribeño
102,Isla Mujeres,MX,82.45,overcast clouds,21.2311,-86.73100000000001,Hotel La Joya Isla Mujeres
