City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,New Norfolk,AU,-42.7826,147.0587,54.9,50,86,4.0,overcast clouds
1,Tebingtinggi,ID,3.3285,99.1625,87.85,52,91,4.63,overcast clouds
2,Kodiak,US,57.79,-152.4072,62.11,39,1,10.36,clear sky
3,Carupano,VE,10.6678,-63.2585,75.6,90,3,8.28,clear sky
4,Hermanus,ZA,-34.4187,19.2345,57.9,63,87,6.24,overcast clouds
5,Tuktoyaktuk,CA,69.4541,-133.0374,28.4,86,75,8.05,broken clouds
6,Thompson,CA,55.7435,-97.8558,24.96,86,90,10.36,overcast clouds
7,Kahului,US,20.8947,-156.47,78.82,81,40,10.36,scattered clouds
8,Avarua,CK,-21.2078,-159.775,80.65,83,20,4.61,light rain
9,Loreto,MX,22.2667,-101.9667,65.8,65,35,8.86,scattered clouds
10,Beyneu,KZ,45.3167,55.2,93.61,12,5,5.28,clear sky
11,Tomatlan,MX,19.9333,-105.25,73.94,73,0,1.83,clear sky
12,Jinchang,CN,38.4953,102.1739,76.15,11,0,17.16,clear sky
13,Vaini,TO,-21.2,-175.2,66.36,94,75,8.05,moderate rain
14,Bethel,US,41.3712,-73.414,64.42,86,1,3.44,clear sky
15,Mataura,NZ,-46.1927,168.8643,37.83,72,85,1.77,overcast clouds
16,Yellowknife,CA,62.456,-114.3525,34.29,55,20,5.75,few clouds
17,Valparaiso,CL,-33.0393,-71.6273,47.32,65,10,9.22,clear sky
18,Hobart,AU,-42.8794,147.3294,55.26,50,40,8.99,scattered clouds
19,Kapaa,US,22.0752,-159.319,80.58,82,40,7.54,scattered clouds
20,Berlevag,NO,70.8578,29.0864,37.35,75,75,6.91,broken clouds
21,Beringovskiy,RU,63.05,179.3167,32.49,98,100,7.23,overcast clouds
22,Aktau,KZ,43.65,51.2,68.58,77,100,23.64,overcast clouds
23,Ushuaia,AR,-54.8,-68.3,29.86,86,90,25.32,light snow
24,Chokurdakh,RU,70.6333,147.9167,38.59,75,73,10.51,broken clouds
25,Miandrivazo,MG,-19.5167,45.4667,74.39,60,0,2.13,clear sky
26,Tiksi,RU,71.6872,128.8694,36.73,85,6,3.49,clear sky
27,Sitka,US,57.0531,-135.33,48.09,81,90,9.22,light rain
28,Unai,BR,-16.3575,-46.9061,71.56,59,26,1.63,scattered clouds
29,Busselton,AU,-33.65,115.3333,63.05,57,96,14.18,overcast clouds
30,Muroto,JP,33.2833,134.15,69.84,66,100,9.91,overcast clouds
31,Castro,BR,-24.7911,-50.0119,48.7,50,25,1.28,scattered clouds
32,Butaritari,KI,3.0707,172.7902,82.08,76,100,15.3,overcast clouds
33,Nsanje,MW,-16.92,35.262,68.14,71,0,1.86,clear sky
